GEOID,NAME,poverty_numE,poverty_numM,poverty_denomE,poverty_denomM,year,percent
2915670,"Columbia city, Missouri",2223,315,21365,562,2011,10.40486777439738
2915670,"Columbia city, Missouri",2269,321,21413,614,2012,10.59636669313034
2915670,"Columbia city, Missouri",2403,315,22012,628,2013,10.916772669453026
2915670,"Columbia city, Missouri",2544,357,22855,578,2014,11.131043535331438
2915670,"Columbia city, Missouri",2459,385,22960,711,2015,10.70993031358885
2915670,"Columbia city, Missouri",2574,346,23406,681,2016,10.997180210202512
2915670,"Columbia city, Missouri",2619,399,24151,714,2017,10.844271458738769
2915670,"Columbia city, Missouri",2610,444,25045,849,2018,10.421241764823318
2915670,"Columbia city, Missouri",2377,349,24941,750,2019,9.530491961028027
2915670,"Columbia city, Missouri",2145,366,25144,821,2020,8.530862233534839
