GEOID,NAME,variable,estimate,moe,sex
2915670,Columbia,0-4,-6,0.5,Male
2915670,Columbia,5-9,-5.3,0.6,Male
2915670,Columbia,10-14,-4.7,0.5,Male
2915670,Columbia,15-19,-10.9,0.7,Male
2915670,Columbia,20-24,-21.1,0.7,Male
2915670,Columbia,25-29,-9.3,0.5,Male
2915670,Columbia,30-34,-6.3,0.5,Male
2915670,Columbia,35-39,-5.8,0.7,Male
2915670,Columbia,40-44,-5.6,0.6,Male
2915670,Columbia,45-49,-5.4,0.4,Male
2915670,Columbia,50-54,-5,0.4,Male
2915670,Columbia,55-59,-4.2,0.5,Male
2915670,Columbia,60-64,-3.2,0.4,Male
2915670,Columbia,65-69,-2,0.3,Male
2915670,Columbia,70-74,-1.7,0.3,Male
2915670,Columbia,75-79,-1.6,0.3,Male
2915670,Columbia,80-84,-1,0.2,Male
2915670,Columbia,85+,-0.8,0.2,Male
2915670,Columbia,0-4,5.2,0.5,Female
2915670,Columbia,5-9,4.8,0.5,Female
2915670,Columbia,10-14,5.2,0.6,Female
2915670,Columbia,15-19,11.2,0.7,Female
2915670,Columbia,20-24,19,0.8,Female
2915670,Columbia,25-29,8.5,0.4,Female
2915670,Columbia,30-34,6.5,0.4,Female
2915670,Columbia,35-39,5.8,0.6,Female
2915670,Columbia,40-44,5.7,0.6,Female
2915670,Columbia,45-49,4.9,0.5,Female
2915670,Columbia,50-54,5.3,0.4,Female
2915670,Columbia,55-59,4.8,0.5,Female
2915670,Columbia,60-64,3.5,0.4,Female
2915670,Columbia,65-69,2.6,0.3,Female
2915670,Columbia,70-74,1.9,0.3,Female
2915670,Columbia,75-79,1.6,0.3,Female
2915670,Columbia,80-84,2,0.4,Female
2915670,Columbia,85+,1.5,0.3,Female
